"Slide26.jpg","Slide26","play","Beryl","Be_3 Al_2 Si_6 O_18""","""cyclosilicate""","""hexagonal""",7.5 - 8,2.6 - 2.9,"""1 poor""","""trace""","""moderate""","""igneous, metamorphic"
"Slide27.jpg","Slide27","play","Pyrite","Fe S_2""","""sulfide""","""isometric""",6 - 6.5,5,"""2 poor""","""low""","""moderate""","""igneous, metamorphic"
"Slide28.jpg","Slide28","play","Pyrrhotite","Fe_{1-x} S""","""sulfide""","""monoclinic""",3.5 4.5,4.6,"""none""","""low""","""moderate""","""igneous, metamorphic"
"Slide29.jpg","Slide29","play","Chalcopyrite","Cu Fe S_2""","""sulfide""","""tetragonal""",3.5 - 4,4.1 - 4.3,"""2 poor""","""low""","""very high""","""igneous, metamorphic"
"Slide30.jpg","Slide30","play","Galena","Pb S""","""sulfide""","""isometric""",2.5,7.5 - 7.6,"""3 perfect""","""trace""","""high""","""metamorphic"
"Slide31.jpg","Slide31","play","Sphalerite","(Zn, Fe) S""","""sulfide""","""isometric""",3.5 - 4,3.9 - 4.1,"""6 perfect""","""trace""","""high""","""metamorphic"
"Slide32.jpg","Slide32","play","Molybdenite","Mo S_2""","""sulfide""","""hexagonal""",1 - 1.5,4.7,"""1 perfect""","""trace""","""high""","""igneous, metamorphic"
"Slide33.jpg","Slide33","play","Gold","Au""","""native element""","""isometric""",2.5 - 3,19.3,"""none""","""ultratrace""","""I'm rich!""","""metamorphic, sedimentary"
"Slide34.jpg","Slide34","play","Diamond","C""","""native element""","""isometric""",10,3.5,"""4 perfect""","""ultratrace""","""I'm rich!""","""igneous, metamorphic, sedimentary"
"Slide35.jpg","Slide35","play","Graphite","C""","""native element""","""hexagonal""",1 - 2,2.2,"""1 perfect""","""trace""","""moderate""","""metamorphic, sedimentary"
"Slide36.jpg","Slide36","play","Halite","Na Cl""","""halide""","""isometric""",2.5,2.2,"""3 perfect""","""trace""","""moderate""","""sedimentary"
"Slide37.jpg","Slide37","play","Fluorite","Ca F_2""","""halide""","""isometric""",4,3.2,"""4 perfect""","""trace""","""moderate""","""metamorphic"
"Slide38.jpg","Slide38","play","Gypsum","Ca S O_4 (H_2 O)_2""","""sulfate""","""monoclinic""",2,2.3,"""1 perfect, 2 good""","""trace""","""high""","""metamorphic, sedimentary"
"Slide39.jpg","Slide39","play","Barite","Ba S O_4""","""sulfate""","""orthorhombic""",3 - 3.5,4.5,"""2 perfect, 1 good""","""trace""","""moderate""","""metamorphic, sedimentary"
"Slide40.jpg","Slide40","play","Apatite","Ca_5 (P O_4)_3 (OH, F, Cl)""","""phosphate""","""hexagonal""",5,3.1 - 3.2,"""2 poor""","""low""","""high""","""igneous, metamorphic, sedimentary"
"Slide41.jpg","Slide41","play","Monazite","(La, Ce, Nd) P O_4 ""","""phosphate""","""monoclinic""",5,5.0 - 5.3,"""1 good, 1 poor""","""trace""","""moderate""","""igneous, metamorphic, sedimentary"
"Slide42.jpg","Slide42","play","Calcite","Ca C O_3""","""carbonate""","""hexagonal""",3,2.7,"""3 perfect""","""moderate""","""high""","""igneous, metamorphic, sedimentary"
"Slide43.jpg","Slide43","play","Dolomite","Ca Mg (C O_3)_2""","""carbonate""","""hexagonal""",3.5 - 4,2.9,"""3 perfect""","""low""","""low""","""metamorphic, sedimentary"
"Slide44.jpg","Slide44","play","Magnesite","Mg C O_3""","""carbonate""","""hexagonal""",4,3,"""3 perfect""","""low""","""moderate""","""metamorphic, sedimentary"
"Slide45.jpg","Slide45","play","Siderite","Fe C O_3""","""carbonate""","""hexagonal""",4 - 4.5,4,"""3 perfect""","""trace""","""moderate""","""metamorphic, sedimentary"
"Slide46.jpg","Slide46","play","Magnetite","Fe_3 O_4""","""oxide (spinel)""","""isometric""",5.5 - 6,5.2,"""none""","""moderate""","""very high""","""igneous, metamorphic, sedimentary"
"Slide47.jpg","Slide47","play","Hematite","Fe_2 O_3""","""oxide""","""hexagonal""",5 - 6,5.3,"""none""","""trace""","""high""","""metamorphic, sedimentary"
"Slide48.jpg","Slide48","play","Chromite","(Fe, Mg) Cr_2 O_4""","""oxide (spinel)""","""isometric""",5.5,4.5 - 5.1,"""none""","""low""","""high""","""igneous, sedimentary"
"Slide49.jpg","Slide49","play","Ilmenite","Ti Fe O_3""","""oxide""","""hexagonal""",5 - 6,4.7 - 4.8,"""none""","""low""","""moderate""","""igneous, metamorphic, sedimentary"
"Slide50.jpg","Slide50","play","Rutile","Ti O_2""","""oxide""","""tetragonal""",6 - 6.5,4.3,"""2 good""","""low""","""high""","""metamorphic, sedimentary"
"Slide51.jpg","Slide51","play","Corundum","Al_2 O_3""","""oxide""","""hexagonal""",9,4,"""none""","""trace""","""moderate""","""metamorphic, sedimentary"
"Slide52.jpg","Slide52","play","Cassiterite","Sn O_2""","""oxide""","""tetragonal""",6 - 7,6.9 - 7.1,"""1 good, 1 poor""","""trace""","""high""","""igneous, metamorphic, sedimentary"
